year,match_time,stage,venue,home_team,away_team,attendance,referee,score
2002,12 Jun 2002 - 15:30 ,Group F,Osaka Nagai Stadium,Nigeria,England,44864.0,HALL Brian (USA),0-0
2002,12 Jun 2002 - 15:30 ,Group F,Miyagi Stadium,Sweden,Argentina,45777.0,BUJSAIM Ali (UAE),1-1
2002,12 Jun 2002 - 20:30 ,Group B,Jeju World Cup Stadium,Slovenia,Paraguay,30176.0,RAMOS RIZO Felipe (MEX),1-3
2002,12 Jun 2002 - 20:30 ,Group B,Daejeon World Cup Stadium,South Africa,Spain,31024.0,MANE Saad (KUW),2-3
2002,13 Jun 2002 - 15:30 ,Group C,Suwon World Cup Stadium,Costa Rica,Brazil,38524.0,EL GHANDOUR Gamal (EGY),2-5
2002,13 Jun 2002 - 15:30 ,Group C,Seoul World Cup Stadium,Turkey,China PR,43605.0,RUIZ Oscar (COL),3-0
2002,13 Jun 2002 - 20:30 ,Group G,International Stadium Yokohama,Ecuador,Croatia,65862.0,MATTUS William (CRC),1-0
2002,13 Jun 2002 - 20:30 ,Group G,Oita Stadium Big Eye,Mexico,Italy,39291.0,SIMON Carlos (BRA),1-1
2002,14 Jun 2002 - 15:30 ,Group H,Shizuoka Stadium Ecopa,Belgium,Russia,46640.0,NIELSEN Kim Milton (DEN),3-2
2002,14 Jun 2002 - 15:30 ,Group H,Osaka Nagai Stadium,Tunisia,Japan,45213.0,VEISSIERE Gilles (FRA),0-2
2002,14 Jun 2002 - 20:30 ,Group D,Daejeon World Cup Stadium,Poland,USA,26482.0,LU Jun (CHN),3-1
2002,14 Jun 2002 - 20:30 ,Group D,Incheon Football Stadium,Portugal,Korea Republic,50239.0,SANCHEZ Angel (ARG),0-1
2002,15 Jun 2002 - 15:30 ,Round of 16,Jeju World Cup Stadium,Germany,Paraguay,25176.0,BATRES Carlos (GUA),1-0
2002,15 Jun 2002 - 20:30 ,Round of 16,Niigata Stadium Big Swan,Denmark,England,40582.0,MERK Markus (GER),0-3
2002,16 Jun 2002 - 15:30 ,Round of 16,Oita Stadium Big Eye,Sweden,Senegal,39747.0,AQUINO Ubaldo (PAR),1-2
2002,16 Jun 2002 - 20:30 ,Round of 16,Suwon World Cup Stadium,Spain,"rn"">Republic of Ireland",38926.0,FRISK Anders (SWE),(3) 1-1 (2)
2002,17 Jun 2002 - 20:30 ,Round of 16,Kobe Wing Stadium,Brazil,Belgium,40440.0,PRENDERGAST Peter (JAM),2-0
2002,17 June 2002 - 15:30 ,Round of 16,Jeonju World Cup Stadium,Mexico,USA,36380.0,MELO PEREIRA Vitor (POR),0-2
2002,18 Jun 2002 - 15:30 ,Round of 16,Miyagi Stadium,Japan,Turkey,45666.0,COLLINA Pierluigi (ITA),0-1
2002,18 Jun 2002 - 20:30 ,Round of 16,Daejeon World Cup Stadium,Korea Republic,Italy,38588.0,MORENO Byron (ECU),2-1
2002,21 Jun 2002 - 15:30 ,Quarter-finals,Shizuoka Stadium Ecopa,England,Brazil,47436.0,RAMOS RIZO Felipe (MEX),1-2
2002,21 Jun 2002 - 20:30 ,Quarter-finals,Munsu Football Stadium,Germany,USA,37337.0,DALLAS Hugh (SCO),1-0
2002,22 Jun 2002 - 15:30 ,Quarter-finals,Gwangju World Cup Stadium,Spain,Korea Republic,42114.0,EL GHANDOUR Gamal (EGY),(3) 0-0 (5)
2002,22 Jun 2002 - 20:30 ,Quarter-finals,Osaka Nagai Stadium,Senegal,Turkey,44233.0,RUIZ Oscar (COL),0-1
2002,25 Jun 2002 - 20:30 ,Semi-finals,Seoul World Cup Stadium,Germany,Korea Republic,65256.0,MEIER Urs (SUI),1-0
2002,26 Jun 2002 - 20:30 ,Semi-finals,Saitama Stadium 2002,Brazil,Turkey,61058.0,NIELSEN Kim Milton (DEN),1-0
2002,29 Jun 2002 - 20:00 ,Third place,Daegu World Cup Stadium,Korea Republic,Turkey,63483.0,MANE Saad (KUW),2-3
2002,30 Jun 2002 - 20:00 ,Final,International Stadium Yokohama,Germany,Brazil,69029.0,COLLINA Pierluigi (ITA),0-2
2002,31 May 2002 - 20:30 ,Group A,Seoul World Cup Stadium,France,Senegal,62561.0,BUJSAIM Ali (UAE),0-1
2006,01 Jul 2006 - 17:00 ,Quarter-finals,"FIFA World Cup Stadium, Gelsenkirchen",England,Portugal,52000.0,ELIZONDO Horacio (ARG),(1) 0-0 (3)
2006,01 Jul 2006 - 21:00 ,Quarter-finals,"FIFA World Cup Stadium, Frankfurt",Brazil,France,48000.0,MEDINA CANTALEJO Luis (ESP),0-1
2006,04 Jul 2006 - 21:00 ,Semi-finals,"FIFA World Cup Stadium, Dortmund",Germany,Italy,65000.0,ARCHUNDIA Benito (MEX),0-2
2006,05 Jul 2006 - 21:00 ,Semi-finals,"FIFA World Cup Stadium, Munich",Portugal,France,66000.0,LARRIONDA Jorge (URU),0-1
2006,08 Jul 2006 - 21:00 ,Third place,Gottlieb-Daimler-Stadion,Germany,Portugal,52000.0,KAMIKAWA Toru (JPN),3-1
2006,09 Jul 2006 - 20:00 ,Final,Olympiastadion,Italy,France,69000.0,ELIZONDO Horacio (ARG),(5) 1-1 (3)
2006,09 Jun 2006 - 18:00 ,Group A,"FIFA World Cup Stadium, Munich",Germany,Costa Rica,66000.0,ELIZONDO Horacio (ARG),4-2
2006,09 Jun 2006 - 21:00 ,Group A,"FIFA World Cup Stadium, Gelsenkirchen",Poland,Ecuador,52000.0,KAMIKAWA Toru (JPN),0-2
2006,10 Jun 2006 - 15:00 ,Group B,"FIFA World Cup Stadium, Frankfurt",England,Paraguay,48000.0,RODRIGUEZ Marco (MEX),1-0
